Tournament,Date,Court,Surface,Round,Best of,Player_1,Player_2,Winner,Rank_1,Rank_2,Pts_1,Pts_2,Odd_1,Odd_2,Score,y,year,rank_diff,pts_diff,odd_diff,h2h_advantage,last_winner,surface_winrate_adv
Shenzhen Open,2020-01-05,Outdoor,Hard,1st Round,3,Wang Yaf.,Sorribes Tormo S.,Wang Yaf.,50,90,1105,708,1.4,2.75,1-6 6-1 6-3,1,2020,40,397,1.35,0,,0.0
Shenzhen Open,2020-01-05,Outdoor,Hard,1st Round,3,Alexandrova E.,Siniakova K.,Alexandrova E.,34,55,1425,1020,1.5,2.5,6-4 6-4 ,1,2020,21,405,1.0,0,,0.0
Shenzhen Open,2020-01-05,Outdoor,Hard,1st Round,3,Doi M.,Bondarenko K.,Bondarenko K.,80,1168,754,6,1.44,2.62,4-6 1-6 ,0,2020,1088,748,1.1800000000000002,0,,0.0
Shenzhen Open,2020-01-05,Outdoor,Hard,1st Round,3,Wang Xiy.,Cirstea S.,Wang Xiy.,140,74,430,778,2.1,1.66,3-6 6-1 6-1,1,2020,-66,-348,-0.44000000000000017,0,,0.0
Shenzhen Open,2020-01-05,Outdoor,Hard,1st Round,3,Tsurenko L.,Mertens E.,Mertens E.,119,17,538,2290,4.5,1.18,3-6 3-6 ,0,2020,-102,-1752,-3.3200000000000003,0,,0.0
Shenzhen Open,2020-01-05,Outdoor,Hard,1st Round,3,Linette M.,Zhang S.,Zhang S.,43,38,1320,1355,2.1,1.66,4-6 2-6 ,0,2020,-5,-35,-0.44000000000000017,0,,0.0
Brisbane International,2020-01-06,Outdoor,Hard,1st Round,3,Kerber A.,Stosur S.,Stosur S.,18,98,2175,683,1.25,3.75,6-7 6-7 ,0,2020,80,1492,2.5,0,,0.0
Brisbane International,2020-01-06,Outdoor,Hard,1st Round,3,Tomljanovic A.,Hon P.,Tomljanovic A.,54,122,1045,500,1.4,2.75,6-2 4-6 6-4,1,2020,68,545,1.35,0,,0.0
Brisbane International,2020-01-06,Outdoor,Hard,1st Round,3,Svitolina E.,Collins D.,Collins D.,5,27,5075,1566,1.12,6.0,1-6 1-6 ,0,2020,22,3509,4.88,0,,0.0
Shenzhen Open,2020-01-06,Outdoor,Hard,1st Round,3,Peng S.,Zhu L.,Peng S.,108,71,613,845,1.83,1.83,6-2 3-6 6-3,1,2020,-37,-232,0.0,0,,0.0
Shenzhen Open,2020-01-06,Outdoor,Hard,1st Round,3,Jabeur O.,Wang Q.,Wang Q.,81,28,752,1563,2.25,1.57,0-6 3-6 ,0,2020,-53,-811,-0.6799999999999999,0,,0.0
Shenzhen Open,2020-01-06,Outdoor,Hard,1st Round,3,Begu I.,Pliskova Kr.,Pliskova Kr.,101,66,669,858,1.8,1.9,3-6 3-6 ,0,2020,-35,-189,0.09999999999999987,0,,0.0
Brisbane International,2020-01-06,Outdoor,Hard,1st Round,3,Sevastova A.,Kenin S.,Kenin S.,30,14,1518,2740,2.62,1.44,6-7 4-6 ,0,2020,-16,-1222,-1.1800000000000002,0,,0.0
Shenzhen Open,2020-01-06,Outdoor,Hard,1st Round,3,Muguruza G.,Wang Xin.,Muguruza G.,35,153,1412,384,1.28,3.5,3-6 6-3 6-0,1,2020,118,1028,2.2199999999999998,0,,0.0
Shenzhen Open,2020-01-06,Outdoor,Hard,1st Round,3,Zheng S.,Rybakina E.,Rybakina E.,40,36,1350,1401,1.83,1.83,2-6 6-1 2-6,0,2020,-4,-51,0.0,0,,0.0
Shenzhen Open,2020-01-06,Outdoor,Hard,1st Round,3,Rogers S.,Gibbs N.,Rogers S.,174,124,351,494,2.1,1.66,6-3 5-7 6-4,1,2020,-50,-143,-0.44000000000000017,0,,0.0
Shenzhen Open,2020-01-06,Outdoor,Hard,1st Round,3,Gasparyan M.,Sabalenka A.,Sabalenka A.,103,11,661,2940,3.75,1.25,3-6 0-6 ,0,2020,-92,-2279,-2.5,0,,0.0
Shenzhen Open,2020-01-06,Outdoor,Hard,1st Round,3,Sasnovich A.,Friedsam A.L.,Sasnovich A.,69,141,853,430,2.0,1.72,6-2 6-3 ,1,2020,72,423,-0.28,0,,0.0
Brisbane International,2020-01-06,Outdoor,Hard,1st Round,3,Strycova B.,Konta J.,Strycova B.,31,12,1462,2825,2.62,1.44,6-2 3-6 6-3,1,2020,-19,-1363,-1.1800000000000002,0,,0.0
ASB Classic,2020-01-06,Outdoor,Hard,1st Round,3,Kasatkina D.,Suarez Navarro C.,Kasatkina D.,70,52,851,1048,1.61,2.2,6-3 3-6 6-2,1,2020,-18,-197,0.5900000000000001,0,,0.0
Brisbane International,2020-01-06,Outdoor,Hard,1st Round,3,Riske A.,Muchova K.,Riske A.,19,21,2085,1846,2.5,1.5,6-4 6-2 ,1,2020,2,239,-1.0,0,,0.0
ASB Classic,2020-01-06,Outdoor,Hard,1st Round,3,Bellis C.,Pegula J.,Pegula J.,855,82,19,743,1.53,2.37,0-6 4-6 ,0,2020,-773,-724,0.8400000000000001,0,,0.0
ASB Classic,2020-01-06,Outdoor,Hard,1st Round,3,Garcia C.,Townsend T.,Garcia C.,46,77,1235,760,1.9,1.8,5-7 6-3 7-5,1,2020,31,475,-0.09999999999999987,0,,0.0
ASB Classic,2020-01-06,Outdoor,Hard,1st Round,3,Peterson R.,Zidansek T.,Zidansek T.,44,64,1275,870,1.36,3.0,6-7 6-7 ,0,2020,20,405,1.64,0,,0.0
ASB Classic,2020-01-06,Outdoor,Hard,1st Round,3,Teichmann J.,Ivanov V.,Teichmann J.,68,1001,855,12,1.04,13.0,6-4 6-3 ,1,2020,933,843,11.96,0,,0.0
ASB Classic,2020-01-06,Outdoor,Hard,1st Round,3,Kuzmova V.,Gauff C.,Gauff C.,61,67,965,855,2.0,1.72,3-6 1-6 ,0,2020,6,110,-0.28,0,,0.0
ASB Classic,2020-01-06,Outdoor,Hard,1st Round,3,Bouchard E.,Flipkens K.,Bouchard E.,262,72,223,819,2.5,1.5,7-5 7-5 ,1,2020,-190,-596,-1.0,0,,0.0
Brisbane International,2020-01-07,Outdoor,Hard,1st Round,3,Sharapova M.,Brady J.,Brady J.,147,53,406,1047,1.72,2.0,6-3 1-6 6-7,0,2020,-94,-641,0.28,0,,0.0
Shenzhen Open,2020-01-07,Outdoor,Hard,2nd Round,3,Pliskova Kr.,Sabalenka A.,Pliskova Kr.,66,11,858,2940,4.0,1.22,6-4 6-4 ,1,2020,-55,-2082,-2.7800000000000002,0,,0.0
Shenzhen Open,2020-01-07,Outdoor,Hard,2nd Round,3,Zhang S.,Bondarenko K.,Bondarenko K.,38,1168,1355,6,1.2,4.33,6-7 3-6 ,0,2020,1130,1349,3.13,0,,0.0
Shenzhen Open,2020-01-07,Outdoor,Hard,1st Round,3,Diyas Z.,Duan Y.Y.,Diyas Z.,75,397,775,113,1.22,4.0,6-3 6-4 ,1,2020,322,662,2.7800000000000002,0,,0.0
Shenzhen Open,2020-01-07,Outdoor,Hard,1st Round,3,Bencic B.,Blinkova A.,Blinkova A.,8,58,4685,1007,1.4,2.75,6-3 3-6 3-6,0,2020,50,3678,1.35,0,,0.0
ASB Classic,2020-01-07,Outdoor,Hard,1st Round,3,Kozlova K.,Anisimova A.,Anisimova A.,89,25,710,1734,3.75,1.25,3-6 4-6 ,0,2020,-64,-1024,-2.5,0,,0.0
ASB Classic,2020-01-07,Outdoor,Hard,1st Round,3,Mcnally C.,Siegemund L.,Siegemund L.,118,73,539,805,1.72,2.0,2-6 2-6 ,0,2020,-45,-266,0.28,0,,0.0
ASB Classic,2020-01-07,Outdoor,Hard,1st Round,3,Williams S.,Giorgi C.,Williams S.,10,99,3935,680,1.22,4.0,6-3 6-2 ,1,2020,89,3255,2.7800000000000002,0,,0.0
Brisbane International,2020-01-07,Outdoor,Hard,1st Round,3,Yastremska D.,Bertens K.,Bertens K.,22,9,1825,4245,2.0,1.72,4-6 6-1 3-6,0,2020,-13,-2420,-0.28,0,,0.0
ASB Classic,2020-01-07,Outdoor,Hard,1st Round,3,Cornet A.,Bonaventure Y.,Cornet A.,57,116,1015,574,1.5,2.5,4-6 7-5 6-3,1,2020,59,441,1.0,0,,0.0
ASB Classic,2020-01-07,Outdoor,Hard,1st Round,3,Arconada U.M.,Martic P.,Martic P.,135,15,459,2617,4.5,1.18,7-5 4-6 4-6,0,2020,-120,-2158,-3.3200000000000003,0,,0.0
ASB Classic,2020-01-07,Outdoor,Hard,1st Round,3,Mchale C.,Li A.,Mchale C.,86,145,720,414,2.37,1.53,7-5 6-2 ,1,2020,59,306,-0.8400000000000001,0,,0.0
Brisbane International,2020-01-07,Outdoor,Hard,1st Round,3,Kontaveit A.,Hsieh S.W.,Kontaveit A.,26,33,1575,1450,1.66,2.1,6-4 6-1 ,1,2020,7,125,0.44000000000000017,0,,0.0
Brisbane International,2020-01-07,Outdoor,Hard,1st Round,3,Kvitova P.,Pavlyuchenkova A.,Kvitova P.,7,29,4721,1531,1.4,2.75,2-6 6-1 6-0,1,2020,22,3190,1.35,0,,0.0
Brisbane International,2020-01-07,Outdoor,Hard,1st Round,3,Putintseva Y.,Vekic D.,Putintseva Y.,32,20,1460,2080,2.37,1.53,6-3 3-6 7-5,1,2020,-12,-620,-0.8400000000000001,0,,0.0
Brisbane International,2020-01-07,Outdoor,Hard,1st Round,3,Stephens S.,Samsonova L.,Samsonova L.,24,129,1737,475,1.61,2.2,4-6 6-2 3-6,0,2020,105,1262,0.5900000000000001,0,,0.0
Brisbane International,2020-01-07,Outdoor,Hard,1st Round,3,Keys M.,Bouzkova M.,Keys M.,13,60,2767,967,1.4,2.75,6-3 6-2 ,1,2020,47,1800,1.35,0,,0.0
ASB Classic,2020-01-07,Outdoor,Hard,1st Round,3,Hourigan P.M.,Wozniacki C.,Wozniacki C.,447,39,92,1353,15.0,1.03,1-6 0-6 ,0,2020,-408,-1261,-13.97,0,,0.0
